cylinders,fuel,mileage,body,doors,drivetrain,price
4.0,4,14.0,6,4.0,0,42991.0
4.0,3,2.0,6,4.0,0,40015.0
4.0,4,11.0,6,4.0,2,30935.0
4.0,3,0.0,6,4.0,0,35236.0
4.0,3,15.0,6,4.0,1,53190.0
4.0,4,21.0,6,4.0,0,73270.0
4.0,3,5.0,6,4.0,0,42855.0
6.0,3,8.0,5,4.0,1,45605.0
6.0,3,4.0,6,4.0,0,90945.0
8.0,3,0.0,5,4.0,1,65350.0
8.0,3,35.0,6,4.0,0,47340.0
3.0,3,4.0,6,4.0,0,35975.0
4.0,3,3.0,6,4.0,1,61506.0
4.0,3,11.0,6,4.0,0,30618.0
4.0,3,15.0,6,4.0,2,27400.0
6.0,0,15.0,5,4.0,1,65260.0
4.0,3,30.0,6,4.0,0,56995.0
6.0,3,20.0,6,4.0,1,69085.0
6.0,0,9.0,5,4.0,1,71167.0
4.0,5,9.0,6,4.0,0,54949.0
4.0,4,10.0,6,4.0,0,35404.0
6.0,3,6.0,6,4.0,0,74290.0
4.0,3,8.0,7,4.0,2,17994.0
6.0,3,26.0,5,4.0,1,52495.0
4.0,3,0.0,6,4.0,0,35480.0
4.0,3,4.0,0,4.0,2,38036.0
6.0,3,16.0,6,4.0,1,43000.0
6.0,3,1.0,6,4.0,1,50170.0
8.0,3,3.0,5,2.0,3,48268.0
4.0,3,1.0,5,4.0,0,30490.0
4.0,4,5.0,6,4.0,0,35864.0
4.0,5,10.0,6,4.0,0,54449.0
4.0,4,7.0,6,4.0,0,50915.0
4.0,3,0.0,6,4.0,1,34730.0
6.0,3,0.0,6,4.0,1,40925.0
4.0,3,14.0,6,4.0,1,25999.0
6.0,3,9.0,6,4.0,1,47744.0
4.0,3,8.0,6,4.0,2,25515.0
4.0,4,0.0,6,4.0,2,33590.0
6.0,3,8.0,4,4.0,2,38954.0
6.0,3,0.0,6,4.0,1,53455.0
4.0,4,11.0,6,4.0,1,54899.0
6.0,3,87.0,6,4.0,0,48000.0
4.0,3,2.0,6,4.0,0,55399.0
4.0,3,18.0,6,4.0,0,42436.0
4.0,3,2.0,6,4.0,0,55399.0
6.0,3,0.0,6,4.0,1,47175.0
4.0,3,1.0,5,4.0,0,37325.0
6.0,3,8.0,6,4.0,1,59674.0
3.0,3,10.0,6,4.0,1,35010.0
4.0,4,26.0,6,4.0,1,65295.0
4.0,3,8.0,6,4.0,3,43685.0
4.0,3,8.0,6,4.0,3,53915.0
8.0,3,10.0,5,4.0,1,54585.0
6.0,4,1.0,5,4.0,1,60573.0
6.0,3,5.0,0,3.0,2,61006.0
3.0,3,8.0,6,4.0,2,30798.0
4.0,4,10.0,6,4.0,0,50590.0
4.0,3,11.0,6,4.0,0,28998.0
6.0,3,1.0,6,4.0,1,84935.0
4.0,4,7.0,6,4.0,0,40933.0
4.0,3,2077.0,6,4.0,2,32625.0
6.0,3,5.0,6,4.0,0,46000.0
6.0,4,10.0,5,4.0,3,71146.0
